Código Proyecto,Foco Apoyo,Tipo Intervención,Instrumento,Instrumento Homologado,Estado Data,Tipo Persona,Rut Beneficiario,Beneficiario,Título,Objetivo,Año Adjudicación,Financiamiento Innova,Aprobado Privado,Aprobado Privado Pecuniario,Monto Certificado Ley,Tipo Innovación,Mercado Objetivo,Criterio Mujer,Género,Sostenible,ODS principal,Meta principal,Economía Circular,Modelo de Circularidad,Región,Tramo Ventas,Inicio Actividad Económica,Sector Económico,Patron principal asociado,Tipo proyecto,R principal,Estrategia R Principal,Ley REP,Ley REP (Sí/No),ERNC,Tendencia Final
25PATI-306231,Entorno para la innovación,Subsidio,Programa de Absorción Tecnológica para la Innovación,Programas de difusión y prospección tecnológica,VIGENTE,Persona Jurídica constituida en Chile,81494400-k,Corporación Universidad de Concepción,Incorporando inteligencia artificial mediante sistemas de visión computacional a las Pymes madereras,"Fortalecer las capacidades de innovación de empresas madereras especializadas en aserrío y remanufactura con líneas productivas definidas, mediante la absorción de tecnologías de visión computacional con Inteligencia Artificial para el control de calidad o clasificación, con el fin de reducir errores humanos y mejorar su competitividad.",2025,$269.980.000,$180.000.000,$180.000.000,,,Forestal,No,Masculino,No,,,,,Región del Biobío,Grande,1993-01-01 0:00:00,Educación,,,,,,,,Inteligencia Artificial (IA)
25PATI-305719,Entorno para la innovación,Subsidio,Programa de Absorción Tecnológica para la Innovación,Programas de difusión y prospección tecnológica,VIGENTE,Persona Jurídica constituida en Chile,81494400-k,Universidad de Concepción,Realidad Extendida Industrial: Programa de Absorción Tecnológica para la Transformación Productiva de PYMEs Industriales,"Fortalecer las capacidades de absorción tecnológica de diez pymes industriales de la Región del Biobío, Ingemecanic, Semelec Sur, REAM, ISOLA, Ingenol, IMC, IMS Ingeniería, Digosa, Qualitat e IDG Terragis, mediante la adopción acompañada de tecnologías de Realidad Extendida (XR: AR, VR y MR), como respuesta a brechas críticas en operación en terreno, gestión del conocimiento y formación técnica. En un ciclo de 12 meses, se realizará un levantamiento técnico por empresa, implementación de soluciones XR adaptadas (asistencia remota, capacitación inmersiva o visualización IoT), formación de equipos internos y acompañamiento técnico, generando mejoras en productividad, autonomía tecnológica y sostenibilidad operativa.",2025,$300.000.000,$200.000.000,$200.000.000,,,Multisectorial,No,Masculino,No,ODS9,,,,Región del Biobío,Grande,1993-01-01 0:00:00,Educación,,,,,,,,Realidad Virtual (VR) y/o Realidad Aumentada (AR)
25IRS-301042,Desarrolla innovación,Subsidio,Innova Región sostenible,Innova Región,VIGENTE,Persona Jurídica constituida en Chile,77478765-8,E-WOOD SpA,Scooter Eléctrico Personalizable y Sustentable EWOOD: Movilidad Modular con Madera Local y Plataforma Digital Escalable,"Desarrollar y validar comercial y técnicamente un modelo de scooter eléctrico modular, reparable y personalizable, fabricado con materiales sostenibles y tecnología local, mediante la integración de nuevos componentes, una plataforma digital y un sistema de arriendo, con el fin de promover un modelo de movilidad urbana sustentable basado en economía circular y producción nacional.",2025,$60.000.000,$15.000.000,$15.000.000,,Producto,Logística y Transporte,No,Masculino,Sí,ODS12,,,,Región del Biobío,Microempresa,2021-11-24 0:00:00,Manufactura de maquinaria y equipos (Metalmecánico),,,,,,,,Mass customization
25IRS-301041,Desarrolla innovación,Subsidio,Innova Región sostenible,Innova Región,VIGENTE,Persona Jurídica constituida en Chile,76421132-4,ESTRUCTURAS METÁLICAS PUCÓN,Desarrollo fabricación y validación de un sistema de anclaje innovador para soluciones constructivas modulares habitacionales con enfoque en vivienda social y turismo en la Región de La Araucanía,"Desarrollar, fabricar y validar un sistema de anclaje estructural integrado para soluciones constructivas modulares habitacionales escalables, adaptable a modelos de vivienda social y turismo, que permita ensamblaje preciso sin soldadura, eficiencia térmica y desmontabilidad estructural.",2025,$39.010.000,$14.250.000,$7.500.000,,Producto,Construcción,No,Masculino,Sí,ODS9,,,,Región de La Araucanía,Pequeña,2015-01-07 0:00:00,Manufactura de metales básicos,,,,,,,,Manufactura Avanzada (Advanced Manufacturing)
25IRS-301006,Desarrolla innovación,Subsidio,Innova Región sostenible,Innova Región,VIGENTE,Persona Jurídica constituida en Chile,76612528-k,Lúpulos Chile SpA,Revalorización del orujo de uva de descarte para aplicación combinada con lúpulo en la industria cervecera,"Generar un ingrediente en base a orujo de uva y lúpulos que entregue sabores naturales poco accesibles en cervecería, evaluando tecnologías de procesamiento que maximicen funcionalidad y estabilidad, y revalorizando así un descarte nacional de alto volumen.",2025,$60.000.000,$15.000.000,$7.500.000,,Producto,Alimentos (excepto producción de vino y derivados),No,Masculino,Sí,ODS12,,,,Región de Los Ríos,Microempresa,2016-04-26 0:00:00,Agrícola (excepto vitivinícola),,,,,,,,Alimentos Funcionales
25IRS-301004,Desarrolla innovación,Subsidio,Innova Región sostenible,Innova Región,VIGENTE,Persona Jurídica constituida en Chile,96999970-6,Crossviile Fabric Chile S.A.,Tintes Funcionales y Naturales desde Subproductos Forestales para la Industria Textil Regional,"Desarrollar tintes naturales y textiles funcionales a partir de extractos fenólicos obtenidos de subproductos forestales regionales, y validar su aplicación en la industria textil, contribuyendo a una producción limpia y al fortalecimiento de la economía circular a nivel regional.",2025,$60.000.000,$90.000.000,$45.000.000,,Producto,Otras industrias manufactureras,No,Masculino,Sí,ODS12,,,,Región del Biobío,Grande,2002-12-11 0:00:00,Otras industrias manufactureras,,,,,,,,Materiales Avanzados (Advanced Materials)
25IRS-300985,Desarrolla innovación,Subsidio,Innova Región sostenible,Innova Región,VIGENTE,Persona Jurídica constituida en Chile,76897755-0,Infood Protein and Biotechnology SpA,EcoDermaPet: Formulación tópica sustentable de uso veterinario con efecto reparador elaborada en base a aceite de larva de mosca soldado-negra (Hermetia illucens),"Desarrollar una formulación tópica semisólida con efecto reparador para uso veterinario, utilizando como ingrediente activo un aceite obtenido de larvas de mosca soldado, rico en ácidos grasos saturados de cadena media y larga",2025,$59.868.936,$16.519.992,$8.820.000,,Producto,Salud y Farmacéutica (en humanos),No,Masculino,Sí,ODS13,,,,Región de Los Ríos,Microempresa,2018-08-03 0:00:00,Servicios de ingeniería o de conocimiento,,,,,,,,Green Technologies (Tecnologías Verdes)
25IRS-300936,Desarrolla innovación,Subsidio,Innova Región sostenible,Innova Región,VIGENTE,Persona Jurídica constituida en Chile,77147627-9,FFSTUDIOS SPA,AIrthwear: Ropa a medida sin desperdicio con IA y robótica.,"Desarrollar un sistema de confección textil automatizado y sustentable que, mediante inteligencia artificial y robótica, permita fabricar ropa a medida sin uso de tallas tradicionales, optimizando el consumo de materiales y eliminando el sobrestock, con el fin de reducir el desperdicio textil y avanzar hacia una industria de la moda más eficiente, inclusiva y respetuosa con el medio ambiente.",2025,$60.000.000,$15.000.000,$15.000.000,,Servicio,Otras industrias manufactureras,No,Masculino,Sí,ODS9,,,,Región de La Araucanía,Microempresa,2020-04-27 0:00:00,Servicios de ingeniería o de conocimiento,,,,,,,,Robótica
25GI-305625,Renuévate,Subsidio,Gestión de Innovación,Gestión de Innovación,VIGENTE,Persona Jurídica constituida en Chile,81494400-k,UNIVERSIDAD DE CONCEPCION,Estructura Pyme: Innovando desde el Centro,"Fortalecer la capacidad y competitividad de las PYMEs mediante un programa integral que robustezca las metodologías de gestión: empresarial, de innovación y tecnológica, a nivel individual y colaborativo.Este objetivo se alcanzará mediante un acompañamiento continuo que parte desde lo teórico hasta la implementación práctica, fomentando una cultura de innovación que promueva la adopción de nuevas prácticas y tecnologías para impulsar el crecimiento y la sostenibilidad de las PYMEs",2025,$64.800.000,$31.000.000,$15.500.000,,,Multisectorial,No,Masculino,No,,,,,Región del Biobío,Grande,1993-01-01 0:00:00,Educación,,,,,,,,Sin tendencia
25CYE-280709,Consolida y Expande,Subsidio,Consolida y Expande,Consolida y Expande,VIGENTE,Persona Natural,Persona Natural,Persona Natural,"Escalamiento comercial de un sistema mejorado de fabricación , secado, gestión de trazabilidad y reciclaje de pecheras reutilizables para la industria salmonera.","El objetivo general es expandir un sistema mejorado de procesamiento de pecheras reutilizables para lograr una tasa de procesamiento comercial de 12000 pecheras diarias, para consolidar la produccion en la provincia de llanquihue y expandir la producción al resto de la Región de Los Lagos.",2025,$149.997.840,$99.999.984,$50.000.000,,Servicio,Pesca y acuicultura,No,Masculino,Sí,ODS9,,,,Región de los Lagos,Pequeña,2009-09-29 0:00:00,Pesca y acuicultura,,,,,,,,Green Technologies (Tecnologías Verdes)
